alpha,N_species,w,leading_eigenvalue,extinction_counter,attempt_counter
-2.125000,25.000000,0.000000,-0.822068,0.000000,1.000000
-2.125000,25.000000,0.400000,-0.460974,0.000000,1.000000
-2.125000,25.000000,0.850000,-0.204454,0.000000,1.000000
-2.125000,25.000000,0.950000,-0.170997,0.000000,1.000000
-2.125000,25.000000,1.000000,-0.156527,0.000000,1.000000
-2.125000,25.000000,0.450000,-0.426692,0.000000,1.000000
-2.125000,25.000000,0.100000,-0.699984,0.000000,1.000000
-2.375000,100.000000,0.800000,-0.040703,0.000000,1.000000
-2.375000,100.000000,0.900000,-0.035478,0.000000,1.000000
-2.375000,100.000000,0.950000,-0.029247,0.000000,1.000000
-2.375000,100.000000,1.000000,-0.024551,0.000000,1.000000
-2.375000,100.000000,0.850000,-0.043426,0.000000,1.000000
-2.375000,100.000000,0.450000,-0.209949,0.000000,1.000000
-2.375000,100.000000,0.650000,-0.084007,0.000000,1.000000
-2.375000,100.000000,0.200000,-0.652080,0.000000,1.000000
-2.375000,100.000000,0.550000,-0.133944,0.000000,1.000000
-2.375000,100.000000,0.700000,-0.066253,0.000000,1.000000
-2.375000,100.000000,0.600000,-0.106135,0.000000,1.000000
-2.375000,100.000000,0.150000,-0.830490,0.000000,1.000000
-2.375000,100.000000,0.100000,-1.075410,0.000000,1.000000
-2.375000,100.000000,0.300000,-0.409319,0.000000,1.000000
-2.375000,100.000000,0.250000,-0.516102,0.000000,1.000000
-2.375000,100.000000,0.500000,-0.169393,0.000000,1.000000
-2.375000,100.000000,0.750000,-0.052026,0.000000,1.000000
-2.125000,50.000000,0.000000,-1.147447,0.000000,1.000000
-2.375000,100.000000,0.350000,-0.325722,0.000000,1.000000
-2.375000,100.000000,0.050000,-1.373591,0.000000,1.000000
-2.125000,25.000000,0.900000,-0.186920,0.000000,1.000000
-2.375000,100.000000,0.400000,-0.260926,0.000000,1.000000
-2.125000,50.000000,0.050000,-0.982954,0.000000,1.000000
-2.125000,50.000000,0.150000,-0.788837,0.000000,1.000000
-2.125000,50.000000,0.450000,-0.327977,0.000000,1.000000
-2.125000,50.000000,0.350000,-0.449531,0.000000,1.000000
-2.125000,50.000000,0.400000,-0.377415,0.000000,1.000000
-2.125000,50.000000,0.250000,-0.599635,0.000000,1.000000
-2.125000,50.000000,0.650000,-0.199876,0.000000,1.000000
-2.125000,50.000000,0.500000,-0.296436,0.000000,1.000000
-2.125000,50.000000,0.600000,-0.227150,0.000000,1.000000
-2.125000,50.000000,0.850000,-0.122823,0.000000,1.000000
-2.125000,50.000000,0.300000,-0.519795,0.000000,1.000000
-2.125000,50.000000,0.550000,-0.250002,0.000000,1.000000
-2.125000,50.000000,0.100000,-0.873026,0.000000,1.000000
-2.125000,50.000000,0.700000,-0.169789,0.000000,1.000000
-2.125000,50.000000,0.950000,-0.106056,0.000000,1.000000
-2.125000,50.000000,0.800000,-0.138258,0.000000,1.000000
-2.125000,50.000000,0.200000,-0.687649,0.000000,1.000000
-2.125000,50.000000,0.750000,-0.155970,0.000000,1.000000
-2.125000,50.000000,0.900000,-0.109346,0.000000,1.000000
-2.125000,50.000000,1.000000,-0.087245,0.000000,1.000000
-1.875000,10.000000,0.000000,-0.659597,0.000000,1.000000
-1.875000,10.000000,0.050000,-0.602031,0.000000,1.000000
-1.875000,10.000000,0.100000,-0.620575,0.000000,1.000000
-1.875000,10.000000,0.300000,-0.551780,0.000000,1.000000
-1.875000,10.000000,0.200000,-0.587280,0.000000,1.000000
