"Dataset","mean_a","lower_a","upper_a","mean_r","lower_r","upper_r","mean_K","lower_K","upper_K"
"Mammals",-0.239694376721875,-0.325018425,-0.133016425,0.467287071992437,0.0645914457533815,1.61701554170128,482.90650395625,58.5906275,1040.25475
"Seagrass",-0.320043188125,-0.40541245,-0.2488592,17.1100731752742,7.47970054427468,30.8405069209384,1084.20992303125,688.082,1535.264
"Fish",0.402815944243752,-0.174827525,3.51409724999999,26.8302643592887,0.373431420535515,103.515809006899,722.1877199375,277.4236,1228.748
"Broadleaf",0.1032437241875,-0.27401935,0.6191391,19.689995060232,6.02937802735013,44.7177666555599,2634.9522190625,2261.7065,3056.51125
"Coniferous",0.656612521615625,-0.20755615,2.0078495,18.9349331820792,0.648890069006277,67.780677251237,2509.2829209375,2220.5395,2880.75125
"Grassland",-0.0729305109375,-0.117556,-0.0430896875,57.3476814502554,15.9639091724046,138.317630629922,2163.8826475,1836.47775,2514.28075
"MarineBacteria",-0.5496729905,-0.66636645,-0.4612878,7.5844996555364,2.2685536378805,14.6971918391945,788.5516868625,329.55065,1299.31075
