Time,Biomass,Rescaled_Density,Per_Capita_Growth,RecordID,Avg_Density
390,0.1721443375609,0.1721443375609,1.02591552357054,Deng_2021,
420,0.260447111660148,0.260447111660148,0.671490644466163,Deng_2021,
450,0.347891011089159,0.347891011089159,0.523197764368297,Deng_2021,
480,0.438898910711997,0.438898910711997,0.470279875424586,Deng_2021,
510,0.542101573238809,0.542101573238809,0.592644305022036,Deng_2021,
540,0.702738278300542,0.702738278300542,0.439229952797252,Deng_2021,
570,0.857070128703926,0.857070128703926,0.224925356471157,Deng_2021,
600,0.953458530813682,0.953458530813682,0.0665636079058032,Deng_2021,
630,0.985191350713444,0.985191350713444,0.0300624833456608,Deng_2021,
660,1,1,-0.0231842490880687,Deng_2021,
3.67,,0.103605884222031,1.6015730318145,FE32,35804213.3333333
3.83,,0.130155066639199,0.97509245546081,FE32,44979103.3333333
4.17,,0.173305562635958,0.84487291849255,FE32,59891090
4.42,,0.209910856759767,1.00608691101133,FE32,72541180
4.83,,0.29649816860049,0.723033958328076,FE32,102464100
5.25,,0.386537031282189,0.865636623959682,FE32,133579810
5.58,,0.496955232844378,0.642297748331123,FE32,171738230
5.92,,0.605480930050665,0.635128923159003,FE32,209242636.666667
6.25,,0.732385218912473,0.1618082751575,FE32,253098333.333333
6.67,,0.782157734302165,0.459873066673377,FE32,270298763.333333
7,,0.900856515347791,0.164260731543967,FE32,311318793.333333
7.67,,1,0.163113856367532,FE32,345580886.666667
0,0.2066666667,0.252854812449138,0.896057347525725,Monod_1941,
0.54,0.3066666667,0.375203915227374,0.845410627625499,Monod_1941,
0.9,0.4,0.489396411112945,0.888888888636363,Monod_1941,
1.23,0.5173333333,0.632952691665292,0.714285714699926,Monod_1941,
1.58,0.6466666667,0.791190864673376,0.546113123125932,Monod_1941,
1.95,0.7773333333,0.951060358888706,0.135415726285485,Monod_1941,
2.33,0.8173333333,1,0.0529077201203187,Monod_1941,
4.1,,0.0266767691495985,1.50142294629493,Oscar_1999_batchBo105,418.232642367729
4.9,,0.0587192598169743,1.16426858245002,Oscar_1999_batchBo105,920.587911280104
5.8,,0.120247750267635,1.48499202559534,Oscar_1999_batchBo105,1885.21833551815
6.7,,0.280958005486532,1.26380135945343,Oscar_1999_batchBo105,4404.79911079365
7.6,,0.600525603841414,0.259094112360051,Oscar_1999_batchBo105,9414.91110469991
9.3,,0.865033105911931,0.0917794823081872,Oscar_1999_batchBo105,13561.8027652556
11,,1,-0.00798769363553816,Oscar_1999_batchBo105,15677.7846680892
6.2,,0.133545427951322,2.40706436829673,Oscar_1999_batchBo119,2372.73581580237
7.1,,0.42285262500483,0.895188532795278,Oscar_1999_batchBo119,7512.93086964181
8,,0.763532163874865,0.0803856272148677,Oscar_1999_batchBo119,13565.8714756101
9.8,,0.874010785280116,0.0800836893051392,Oscar_1999_batchBo119,15528.7734327199
11.6,,1,-0.0246389390228336,Oscar_1999_batchBo119,17767.2560730964
5.7,,0.0441770406358309,1.50145264374575,Oscar_1999_batchBo54,863.03041389239
6.8,,0.117139748536916,1.47609586169205,Oscar_1999_batchBo54,2288.40964012128
7.9,,0.307340196397404,0.8671332166386,Oscar_1999_batchBo54,6004.11283972442
9,,0.600495578812265,0.179506195069082,Oscar_1999_batchBo54,11731.1150874729
10.1,,0.719067522971501,0.134653261522383,Oscar_1999_batchBo54,14047.5037040697
12.4,,0.941764533584248,0.0281075211569819,Oscar_1999_batchBo54,18398.0507410714
14.6,,1,-0.012132388836615,Oscar_1999_batchBo54,19535.7226620655
5.5,,0.071443242452384,1.66020190448882,Oscar_1999_batchBo62,846.91300189173
6.5,,0.190053449634689,0.896575704139119,Oscar_1999_batchBo62,2252.95958056873
7.5,,0.360450755064978,1.30466331935443,Oscar_1999_batchBo62,4272.9084029141
8.6,,0.877744321488552,0.0696419649312663,Oscar_1999_batchBo62,10405.0859491818
10.6,,1,-0.014281430113724,Oscar_1999_batchBo62,11854.3472107413
5.6,,0.0450492023935578,1.79479461142097,Oscar_1999_batchBo63,906.870806947572
6.7,,0.133988674668805,1.02628619859083,Oscar_1999_batchBo63,2697.28232826851
7.8,,0.285250475006883,1.04334435191526,Oscar_1999_batchBo63,5742.28431819391
8.9,,0.612626394184416,0.111913299581385,Oscar_1999_batchBo63,12332.582219721
10.1,,0.694899643605005,0.137323802052807,Oscar_1999_batchBo63,13988.7981820022
12.3,,0.90483741803596,0.0478049627616578,Oscar_1999_batchBo63,18214.9870775065
14.5,,1,-0.00207295130225662,Oscar_1999_batchBo63,20130.6739911839
4.6,,0.0547549499559196,1.4142755004477,Oscar_1999_batchBo92,731.511173982892
5.6,,0.132193534206817,1.11509692088594,Oscar_1999_batchBo92,1766.06950565063
6.6,,0.279602137161869,0.807957024840455,Oscar_1999_batchBo92,3735.40817347222
7.6,,0.505508648042205,0.978205524025992,Oscar_1999_batchBo92,6753.45744787554
8.6,,1,-0.0788309048187495,Oscar_1999_batchBo92,13359.7268296619
3.6,,0.018181775986172,1.64718195913911,Oscar_1999_batchBo93,331.992539003021
4.6,,0.0481304693757032,1.49537197701973,Oscar_1999_batchBo93,878.844659817583
5.5,,0.112906129006413,1.30265542121479,Oscar_1999_batchBo93,2061.62436861777
6.5,,0.259983910044993,1.37426408980462,Oscar_1999_batchBo93,4747.21052890623
7.5,,0.617270461546822,0.593667300013496,Oscar_1999_batchBo93,11271.1314855245
8.5,,0.983723749831408,0.00870818403908804,Oscar_1999_batchBo93,17962.4336826329
10.4,,1,-0.00059890216131228,Oscar_1999_batchBo93,18259.6320213996
4.9,,0.0740562800698909,2.27517461921044,Oscar_1999_batchBo99,1517.79287087691
5.7,,0.208849055116416,0.838453631811026,Oscar_1999_batchBo99,4280.38792450707
6.6,,0.366448279002809,0.599632859387266,Oscar_1999_batchBo99,7510.40404528377
7.5,,0.564209265423207,0.233743535169432,Oscar_1999_batchBo99,11563.5405928282
9.2,,0.788405721491334,0.157872043871925,Oscar_1999_batchBo99,16158.4754501412
10.9,,1,-0.0705348850570275,Oscar_1999_batchBo99,20495.127076927
3.481792036,0.04403668,0.0595041086907999,0.993505619737492,Varma_1994,
4.236694135,0.077064167,0.104132159130388,0.967859878523234,Varma_1994,
4.745097901,0.114984639,0.155371804977768,0.779622018392147,Varma_1994,
5.222688641,0.157798049,0.213222982724678,0.790698387777394,Varma_1994,
5.761904258,0.225076339,0.304132076704768,0.834882701505037,Varma_1994,
6.224089073,0.31192657,0.42148755366727,0.840770919294915,Varma_1994,
6.732492839,0.445259926,0.601652872840585,0.701782615179891,Varma_1994,
7.210083579,0.594495415,0.80330578486712,0.512689939248438,Varma_1994,
7.687674319,0.740061165,1,-0.0435856730560137,Varma_1994,
