alpha,N_species,w,mean_leading_eigenvalue,extinction_counter, attempt_counter
-1.875000,25.000000,0.000000,-0.522225,0.000000,1.000000
-2.125000,100.000000,1.000000,-0.069962,0.000000,1.000000
-2.125000,100.000000,0.600000,-0.228661,0.000000,1.000000
-2.125000,100.000000,0.350000,-0.312898,0.000000,1.000000
-2.125000,100.000000,0.650000,-0.211445,0.000000,1.000000
-1.875000,25.000000,0.050000,-0.510329,0.000000,1.000000
-2.125000,100.000000,0.300000,-0.329710,0.000000,1.000000
-2.125000,100.000000,0.450000,-0.279346,0.000000,1.000000
-2.125000,100.000000,0.900000,-0.117810,0.000000,1.000000
-1.875000,25.000000,0.100000,-0.514441,0.000000,1.000000
-1.875000,25.000000,0.350000,-0.487988,0.000000,1.000000
-1.875000,25.000000,0.400000,-0.483673,0.000000,1.000000
-1.875000,25.000000,0.300000,-0.492296,0.000000,1.000000
-1.875000,25.000000,0.550000,-0.470638,0.000000,1.000000
-1.875000,25.000000,0.750000,-0.452984,0.000000,1.000000
-1.875000,25.000000,0.850000,-0.444111,0.000000,1.000000
-1.875000,25.000000,0.950000,-0.435253,0.000000,1.000000
-1.875000,25.000000,0.600000,-0.466250,0.000000,1.000000
-1.875000,25.000000,0.900000,-0.439679,0.000000,1.000000
-1.875000,25.000000,0.250000,-0.496599,0.000000,1.000000
-1.875000,25.000000,1.000000,-0.430835,0.000000,1.000000
-1.875000,25.000000,0.150000,-0.505184,0.000000,1.000000
-1.875000,25.000000,0.200000,-0.500896,0.000000,1.000000
-1.875000,25.000000,0.450000,-0.479346,0.000000,1.000000
-1.875000,25.000000,0.650000,-0.461842,0.000000,1.000000
-1.875000,25.000000,0.800000,-0.448547,0.000000,1.000000
-1.875000,25.000000,0.500000,-0.475003,0.000000,1.000000
-1.875000,50.000000,0.000000,-0.510170,0.000000,1.000000
-1.875000,50.000000,0.050000,-0.503028,0.000000,1.000000
-1.875000,25.000000,0.700000,-0.457417,0.000000,1.000000
-1.875000,50.000000,0.100000,-0.497699,0.000000,1.000000
-1.875000,50.000000,0.150000,-0.484867,0.000000,1.000000
-1.875000,50.000000,0.200000,-0.488324,0.000000,1.000000
-1.875000,50.000000,0.250000,-0.467429,0.000000,1.000000
-1.875000,50.000000,0.350000,-0.453562,0.000000,1.000000
-1.875000,50.000000,0.600000,-0.419833,0.000000,1.000000
-1.875000,50.000000,0.500000,-0.435035,0.000000,1.000000
-1.875000,50.000000,0.750000,-0.397367,0.000000,1.000000
-1.875000,50.000000,0.550000,-0.427410,0.000000,1.000000
-1.875000,50.000000,1.000000,-0.360672,0.000000,1.000000
-1.875000,50.000000,0.950000,-0.367947,0.000000,1.000000
-1.875000,50.000000,0.800000,-0.389959,0.000000,1.000000
-1.875000,50.000000,0.650000,-0.412302,0.000000,1.000000
-1.875000,50.000000,0.850000,-0.382588,0.000000,1.000000
-1.875000,50.000000,0.450000,-0.442711,0.000000,1.000000
-1.875000,50.000000,0.300000,-0.464635,0.000000,1.000000
-1.625000,10.000000,0.100000,-0.584767,0.000000,1.000000
-1.875000,50.000000,0.400000,-0.454001,0.000000,1.000000
-1.875000,50.000000,0.700000,-0.404814,0.000000,1.000000
-1.875000,50.000000,0.900000,-0.375252,0.000000,1.000000
-1.625000,10.000000,0.150000,-0.581400,0.000000,1.000000
-1.625000,10.000000,0.050000,-0.585936,0.000000,1.000000
-1.875000,100.000000,0.250000,-0.433384,0.000000,1.000000
-1.625000,10.000000,0.000000,-0.587107,0.000000,1.000000
-1.875000,100.000000,0.400000,-0.390531,0.000000,1.000000
-1.625000,10.000000,0.200000,-0.582291,0.000000,1.000000
-1.625000,10.000000,0.250000,-0.581125,0.000000,1.000000
-1.625000,10.000000,0.300000,-0.579937,0.000000,1.000000
-1.625000,10.000000,0.400000,-0.577495,0.000000,1.000000
-1.875000,100.000000,0.500000,-0.361592,0.000000,1.000000
-1.875000,100.000000,0.100000,-0.475214,0.000000,1.000000
-1.875000,100.000000,0.950000,-0.231264,0.000000,1.000000
-1.875000,100.000000,0.750000,-0.290002,0.000000,1.000000
-1.875000,100.000000,0.000000,-0.502376,0.000000,1.000000
-1.625000,10.000000,0.750000,-0.568337,0.000000,1.000000
-1.875000,100.000000,0.300000,-0.418867,0.000000,1.000000
-1.625000,10.000000,0.650000,-0.571026,0.000000,1.000000
-1.875000,100.000000,0.350000,-0.404822,0.000000,1.000000
-1.625000,10.000000,0.350000,-0.578728,0.000000,1.000000
-1.875000,100.000000,0.900000,-0.246144,0.000000,1.000000
-1.625000,10.000000,0.550000,-0.573667,0.000000,1.000000
