alpha,N_species,mu,mean_leading_eigenvalue,extinction_counter, attempt_counter
-1.875000,10.000000,-0.010000,-0.433225,0.000000,1.000000
-1.875000,10.000000,0.020000,-0.626016,0.000000,1.000000
-1.875000,10.000000,0.000000,-0.524855,0.000000,1.000000
-1.875000,10.000000,0.010000,-0.579807,0.000000,1.000000
-1.875000,10.000000,0.030000,-0.670310,0.000000,1.000000
-1.875000,10.000000,0.070000,-0.827875,0.000000,1.000000
-1.875000,10.000000,0.080000,-0.864697,0.000000,1.000000
-1.875000,10.000000,0.090000,-0.900503,0.000000,1.000000
-1.875000,10.000000,0.040000,-0.713275,0.000000,1.000000
-1.875000,10.000000,0.050000,-0.753394,0.000000,1.000000
-1.875000,25.000000,0.000000,-0.516981,0.000000,1.000000
-1.875000,10.000000,0.060000,-0.793294,0.000000,1.000000
-1.875000,10.000000,0.100000,-0.930944,0.000000,1.000000
-2.125000,100.000000,0.080000,-2.957266,0.000000,1.000000
-2.125000,100.000000,0.030000,-1.671030,0.000000,1.000000
-2.125000,100.000000,0.050000,-2.231388,0.000000,1.000000
-2.125000,100.000000,0.060000,-2.484617,0.000000,1.000000
-1.875000,25.000000,0.010000,-0.655607,0.000000,1.000000
-1.875000,25.000000,0.070000,-1.209789,0.000000,1.000000
-1.875000,25.000000,0.020000,-0.769762,0.000000,1.000000
-1.875000,100.000000,-0.090000,nan,0.000000,5.000000
-1.875000,25.000000,0.060000,-1.133788,0.000000,1.000000
-1.875000,25.000000,-0.010000,-0.212995,0.000000,1.000000
-2.125000,100.000000,0.070000,-2.727933,0.000000,1.000000
-1.875000,25.000000,0.040000,-0.965167,0.000000,1.000000
-1.875000,25.000000,0.050000,-1.052272,0.000000,1.000000
-1.875000,100.000000,-0.100000,nan,0.000000,5.000000
-1.875000,25.000000,0.030000,-0.871823,0.000000,1.000000
-1.875000,100.000000,-0.060000,nan,0.000000,5.000000
-2.125000,100.000000,0.020000,-1.344331,0.000000,1.000000
-2.125000,100.000000,0.040000,-1.963705,0.000000,1.000000
-2.125000,100.000000,0.010000,-0.963271,0.000000,1.000000
-1.875000,100.000000,-0.080000,nan,0.000000,5.000000
-2.125000,100.000000,0.100000,-3.388567,0.000000,1.000000
-1.875000,100.000000,-0.070000,nan,0.000000,5.000000
-1.875000,25.000000,0.080000,-1.286060,0.000000,1.000000
-1.875000,100.000000,-0.050000,nan,0.000000,5.000000
