NoNoise,Noise_0.001,Noise_0.01,Noise_0.1
8.132697377471818090e-01,1.202902660935019519e+01,3.958992201961553797e-02,2.328538227154186124e+00
9.552050653977983696e-01,5.388311904078003423e+00,7.016766639452727272e-01,2.274765785001752416e+00
1.321824935155364589e+00,-1.946764538664599170e-02,-1.340218422280291255e-03,-3.708771022539997350e-04
1.058142039033350912e+00,-1.885023898976128168e-02,-7.858339927679898820e-03,1.324997681785560801e-02
1.071002795502952853e+00,-1.159096292750912485e-02,7.329602997453308266e-04,1.242091037962137975e-02
7.146801358749941269e-01,-8.728462890739994984e-03,-1.382374636504700958e-02,-1.890628276140335698e-02
7.008786876337070870e-01,-5.403056646063273023e-03,-1.123589815920469567e-02,-1.875920744622654873e-02
4.128774342950854437e-01,1.675097108941701718e+00,3.745888119605202071e+00,2.697038029436549689e+00
1.085600422133206067e+00,2.529327511190057609e-02,3.861620876687384130e-02,9.659447799561005077e-02
9.310920040049056601e-01,-1.275851835007942546e-02,-3.509489187821632997e-03,9.734287733175053248e-01
9.315914904670827834e-01,-1.606560633187228623e-02,-4.259990391890650097e-03,-6.234186272250570246e-03
7.785989595691873433e-01,5.589243975709441425e-01,2.933506925492546102e+00,2.654953625333526523e-01
1.129170063800825741e+00,-2.013871182479796268e-02,-5.726619005410375990e-04,-5.284303520198344213e-03
1.385665729528043233e+00,-2.587328017785116112e-03,-3.030401294785052893e-02,-2.792469749327958217e-02
1.004806047986900985e+00,4.157434044088803127e+00,3.839955188678856324e+00,8.510320414522766219e-01
9.067461575602842050e-01,4.700630505786397961e+00,8.799676315201431231e-01,3.404839687019390326e-01
-5.247110505459502861e+00,1.072594941475680207e-02,7.557100357879834363e+00,1.752430019188864208e+00
1.993331789899234763e-01,6.951380796411480212e+00,2.290722359755865689e+00,8.795774347777460256e-02
1.015420031016579239e-01,-1.676888816160639062e-02,-4.518337215227663690e-03,1.392470383592586680e-02
6.629761760843168039e-01,9.030429726220197129e-01,3.652700583342821439e+00,-1.649086435890772390e-02
4.132509605616602744e-01,-6.240566342379764639e-03,-7.558528867724961450e-03,-5.731723102895488337e-02
5.280280751038491927e-01,2.903044923554075840e+00,5.134503839036431705e-01,4.266939016962643549e+00
6.393498449102470449e-01,-5.253637937176995750e-04,-2.058804784934425633e-02,1.385263965230111062e-02
4.399881702073304979e-01,9.784851348443440733e-01,5.600358006225039098e-01,9.795117552483387779e-01
9.592090625797521364e-01,-9.673820502107502786e-03,-1.777855129119414873e-02,-5.311006676196185911e-02
9.979816857067727032e-01,-1.314501130907808069e-02,-2.620557196804322760e-03,-2.184115774131240723e-02
7.566142997229787781e-01,3.100491474095243838e-01,9.991272433510407780e-02,5.997184670826418568e-02
6.447761086213980031e-01,3.605281117637718413e+00,7.148345805978777445e-01,-4.292695182872154069e-02
2.180223963779647500e-01,-2.354600328987655963e-02,-7.423581123568537624e-03,-3.256010391353195838e-02
6.323201675100834640e-01,2.798548502087299106e+00,6.072051320723849122e-01,1.359626670814510607e+00
1.224849662578798570e+00,5.303681622846285748e+00,5.459600141505559223e-02,9.422232830231139222e-02
5.804582998026883711e-01,-5.727727064810785376e-03,-1.168947865512324699e-02,7.741183484670924493e-03
7.308339554320394393e-01,5.735339805082851683e+00,8.251028531410449673e+00,-6.000680633481793314e-02
2.438355890612545096e+00,4.405716584755746901e+00,5.669594308376503022e+00,2.117319081807604864e-01
7.872412360693655797e-01,2.612935350379677502e+00,4.874194818662266893e-01,-7.921199692348968036e-02
7.931579523776137730e-01,3.130315996658229738e-02,3.508723171030675436e-02,1.611363776024062222e+00
5.378606912119205941e-01,-4.624687261407816989e-03,-7.282643094036358664e-03,-8.083538385006716967e-03
4.653785884740661016e-01,-4.027512554932613335e-03,-2.308838889643815423e-02,8.070172966312218199e-02
5.100265270643434823e-01,-5.633463674894696564e-03,-1.968672812992657874e-03,-1.544499712549765938e-02
1.200318313927143832e+00,-9.966791310746795501e-03,-1.454502776424899078e-02,9.703847751625616080e-01
7.949416005039608990e-01,1.582360697693904056e-02,5.513037584181811113e+00,1.129925630044816554e-01
2.696345636507899157e-01,3.440247549063259136e+00,9.447501454664596565e+00,9.432421901175984669e-01
6.730679865420315933e-01,1.126847303264308042e+00,-1.971372025895939961e-02,5.527056354999121401e-01
9.718465363776302990e-01,-1.113363026772803792e-02,-2.393912107231436701e-02,2.898114428317696660e-03
1.011562277629805662e+00,1.016169725592517992e+01,1.394059429893881874e-02,1.194732451818434765e-01
9.465917203911745625e-01,5.917618735608162872e+00,5.866294456887183095e+00,-6.336649787583532867e-02
7.097172835707160621e-01,-1.569634402869946738e-02,-6.859544044686164896e-03,-7.279423263797935029e-06
1.257092717346543598e+00,-1.082416802448680701e-02,-7.126428984738299340e-03,5.851558663113806125e-01
9.703724001820652756e-01,-1.738700834979950774e-02,-6.801545744998555021e-03,-3.730623112554094789e-02
1.284377873942472714e+00,1.326430692646179921e+01,6.117527523051535798e-01,6.594652937067529801e-03
4.568498365376707504e-01,8.094828984116675830e-04,-1.270385786921284822e-02,-2.970558391437966295e-02
1.015422325599539599e+00,3.151282631601374895e+00,5.392490136685891500e+00,1.978835601196210769e-01
6.987986344434530261e-01,2.797745558071104005e-02,6.395948384599825509e+00,7.025729832592506052e-02
9.560342785915356689e-01,-1.119177246343187361e-02,-1.068216396137280401e-02,3.817093309642702881e-01
6.798407467492710854e-01,-1.355119207912039957e-02,-4.186923883577418209e-03,4.784551059346737328e-03
6.422630237128863495e-01,-4.138057573840537261e-03,-7.226791964164781638e-03,-3.204147482951555555e-03
3.326071448998206836e-01,1.120061270545450238e+00,-7.694941245735223249e-03,5.534468902768286958e-01
-8.375451999894031885e-02,3.040151119888202302e+00,4.061268968574435756e-01,4.077111049381735297e-01
7.855332991953484223e-01,9.012407719064480238e-01,3.911872058704443766e+00,2.538107204259552496e+00
2.420222099648361880e+00,-2.458541111739241669e-02,1.444871169666571920e+00,2.518812457299529021e-03
-5.712611275871511129e-02,-1.435942438685962677e-02,-2.462861284913216847e-02,-4.504640880483357958e-03
1.057608472938081023e+00,7.433676209853262939e+00,3.214503254950862754e+00,5.233588518627014796e-01
-3.580349315367433727e-01,-8.631658134150236444e-03,-3.527211183163216079e-03,-2.249447797715671549e-02
5.897071171608734286e-01,-9.586916090845240199e-03,-1.762031017833271679e-02,-4.372748635419773655e-02
-1.463844417939514919e-01,-7.295341354408448227e-03,-2.273034207781911981e-02,2.733107595539844246e-03
2.433790733066262479e+00,2.918579639429530026e+00,2.588532103777415605e-01,1.157450700841238245e+00
7.877026929139072653e-01,2.055613164091091960e+00,1.941708522046722063e+00,3.345553632609850503e+00
1.027276277867833709e+00,-1.910278141200096036e-02,-1.804590868934928191e-02,-2.712397627651028098e-02
1.024361814295100315e+00,2.732891805448869782e+00,3.956585484973130118e+00,2.004079397059103582e-02
7.434496251373807763e-01,-1.789825131617807027e-02,-1.801002238768711211e-02,2.987906639443854706e-02
5.582292698165394196e-01,-1.318020258922630340e-02,2.094880762632002735e+00,1.531121982731854791e-01
9.243015439078229312e-01,-2.941112109334824767e-02,-8.079482912873553468e-03,2.506679152065103763e-02
6.457804175287554793e-01,-2.066913863847191085e-02,-9.375112408880042353e-03,1.761220987346661174e-02
1.180325381214913927e+00,-1.140490848806224346e-02,-9.913477591202098094e-03,-4.616255770333844988e-02
2.087352306582125061e-01,1.627230294525255916e+00,4.764528819060990017e+00,3.409642098948530098e+00
6.442200330796804542e-01,-1.699076530093904941e-02,-7.033796368781371038e-03,2.160261431469261053e-03
-3.678305578379937879e-01,1.207659475224819445e+01,1.789693380908618181e+00,2.480191648334711285e+00
4.033073613701795845e-01,-6.328024337917859295e-03,-9.816333574156722169e-03,-3.814525208181076404e-02
9.783988172270872141e-01,2.945781085508512920e+00,1.233195711613213064e-01,5.682667578621254378e+00
8.119983812001183576e-01,-1.818627675449943637e-02,-3.545971226418118821e-02,7.705019001909959586e-01
9.777892014396802889e-01,2.558060957837839447e-02,4.875090016496112177e+00,2.619574373058294103e+00
4.137428737514158295e-01,-2.162671115683558777e-03,-8.618001870972707285e-03,4.799127555614357728e-03
4.576055335271062563e-01,4.344700383802139326e-03,-1.030296124221596540e-02,-2.641784961901024603e-02
7.111337382668012075e-02,-1.623456652177832776e-02,-1.520627448015805794e-02,6.424713695891928200e-01
7.551478507484828961e-01,1.262589375210425136e+00,9.831870609045291198e-01,6.896178226070296402e-01
1.544432850892346165e+00,-1.099647664180224485e-02,-1.047756560433129105e-02,1.114095044135294220e-02
3.782926979321440397e-01,-6.874884721915812229e-03,-9.691596910875888843e-03,-3.740391830128655948e-02
7.773281458238471275e-01,-4.448434538214173124e-03,-4.813490996302954329e-03,-2.571630083149191795e-02
4.946068130199835489e-01,-2.173117373372864675e-02,-9.766875526914270411e-03,1.306891868450694646e-02
1.280096140876187727e+00,-2.156738419995705633e-02,-2.960143851714355095e-02,2.095666372960903329e-02
6.949503690682905521e-01,5.913222029165997817e+00,6.177757337673409621e-01,7.331355789596308292e-02
1.171867559059874164e+00,-3.064714415272457981e-03,-1.230100084968772239e-02,4.097544168491444594e-03
5.901315441087671143e-01,-5.755240201748235140e-02,4.791963729202083216e-02,-8.565330339913117957e-03
8.077759700565347867e-01,-1.869529359995111134e-02,2.833716568929143698e+00,9.350523017580075974e-04
1.057115143475951813e+00,-8.282051543372491442e-03,-6.630946875907238643e-03,6.061712462341681817e-01
1.899653600433328204e+00,3.028305377017672176e-02,3.758270919918725583e-02,1.040867090354904878e+00
2.168042663379742052e+00,3.398072719341931336e+00,2.373144237096700415e+00,-3.922069273616456131e-02
8.015695762218794096e-01,-2.837771719351056370e-03,-2.290303629623655773e-02,8.906532997454936346e-03
5.144643855401657140e-01,-1.435422082864673023e-02,-1.505429900271889644e-02,2.137663987777729119e-02
-1.204524505911541976e-01,1.851209898646129877e-03,-3.234767359256999954e-03,-6.263560450031539772e-02
1.361969178013054727e+00,8.552235478404849323e-01,5.097467481945394674e-01,2.614492279582333545e+00
2.198082261177252694e-01,1.243483953777812677e-03,-1.591408290432271694e-02,-6.421529090267399931e-02
6.988618378908291184e-01,4.946264246554809674e+00,1.030789489774068368e+00,3.892325341592269838e-01
1.299966054230987655e+00,-3.522582313407319424e-03,-3.056491047697024004e-03,-1.104315397731053632e-02
8.216851385874287539e-01,-3.130100040248586825e-03,-2.454878193202536529e-02,3.328574288148636404e-03
3.960509913260729098e-01,-1.439408052106517545e-02,-1.462673351938754973e-02,-8.804593622679131662e-03
-4.314485347573384505e-02,-6.243203351869552713e-03,-2.840742252715371032e-03,-4.013694224287044608e-03
1.422321514539189313e-01,3.752928584992758942e+00,3.233297713255524619e-01,2.438847462969145230e+00
1.099918353159630602e+00,3.912950957695858101e+00,2.335822132958774167e-01,1.080536777017113037e+00
2.395319756249658205e+00,-1.624554722405192192e-02,6.857768898186444861e-01,-3.290818105625684109e-02
9.178879353946044484e-01,1.988520746236786207e+00,3.958855534421600320e-01,1.300483226723613550e-01
5.517306524605353202e-01,8.418350731211076132e-01,1.062494639425425103e+00,3.567843253735508702e-01
7.370494801119529260e-01,3.705031119722831168e+00,5.881524094309771751e-03,9.413754705879487261e+00
-2.984822154345724843e-01,1.827659231769741778e-03,-1.183248461405661707e-02,1.874130989479407677e-02
1.086666859155730025e+00,6.564808293170830034e+00,5.045444390085485509e+00,3.461587894796660514e+00
9.225560965401188307e-01,2.128736991579470939e+00,4.100609273206504146e-01,3.570275425340126429e-01
-2.406644939982183207e-02,-3.664128084784442491e-03,-7.662794293905800420e-03,4.257781100160696990e-03
2.132955483180163925e-01,2.537738388189715935e-02,6.346346217040235160e+00,5.616045540552032644e-01
7.483386876240428087e+00,4.847889231876086669e+00,2.778954565143910926e+00,3.108836371094283457e+00
4.602673835327316110e-01,-1.193349409344880707e-02,-1.195061611854023736e-02,9.095857902215488400e-01
7.127760878547281242e-01,-7.048044615575978049e-03,-1.666975294577953057e-02,-2.591195242863279097e-02
1.723011939047189189e+00,-9.679419038737039488e-03,-9.239643116463851225e-03,3.628304598469088427e-02
1.316909742893185853e-01,-6.963255851020301763e-03,-1.052419442747556597e-02,-8.992624689425776294e-03
9.103618575161469550e-01,-1.445637552486142910e-02,-1.351511944205107882e-02,7.994028614052784559e-03
6.215490472638248720e-01,2.454899071360558072e+00,1.846610659287968970e+00,4.289223428137245442e+00
3.946350696805495106e-01,1.757484731872457129e+00,1.083513743952410291e+00,8.705532712535569928e+00
8.878059874871990775e-01,-2.698858562971964779e-03,-6.528205830245673025e-03,1.660102529015057560e-02
1.289703489485360510e+00,-5.833625718883244868e-03,-4.113110646538599424e-02,-3.580189111812072389e-02
3.634898383957589629e-02,-2.200595045763169971e-02,9.293028728689402816e-05,-3.632715719936654292e-02
1.477585291078887364e+00,-2.962487775419132743e-03,1.521485212427014719e-03,1.957134752964110463e-02
-3.137461772411445970e+00,-4.049819190056876128e-03,-4.156550117264648687e-03,-5.461233858117686690e-02
6.923196763313284041e-01,-8.225493606081324405e-03,-1.851456556488108307e-02,-2.940053858483730048e-02
-2.146519009218878227e-01,8.731084106487532637e+00,3.104447693320289581e+00,2.309176170798829197e+00
8.532123265858281291e-01,-2.337966034356255690e-02,-1.009292909751042730e-02,-2.351827361383223430e-02
4.848065519110610344e-01,-4.032937417509697975e-02,-9.783052430857558379e-03,4.315652855453238068e-01
